# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-O" "-M" "-T" "12" "-a" "Papla_JGI.gtf" "-o" "Counts_ATS_wo.txt" "ATS_wo_1_alg.bam" "ATS_wo_2_alg.bam" "ATS_wo_3_alg.bam" 
Geneid	Chr	Start	End	Strand	Length	ATS_wo_1_alg.bam	ATS_wo_2_alg.bam	ATS_wo_3_alg.bam
gene_3370	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	936285;936693;936827;936897;937074;937254	936614;936781;936848;937028;937141;937408	-;-;-;-;-;-	796	530	495	546
gene_3371	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	937677;937878;938001;938294;938582;938894	937830;937951;938233;938511;938786;938903	-;-;-;-;-;-	894	3072	3859	3174
gene_3372	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	939790;940079;940176;940610;940990;941284;941518;942027;942116	939995;940117;940565;940945;941234;941469;941980;942063;942214	+;+;+;+;+;+;+;+;+	2001	2488	3171	2742
gene_3373	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	942394;942571;942855;943198;944559;944721;944838;944919;945216	942512;942808;942913;944513;944672;944786;944865;945168;945764	+;+;+;+;+;+;+;+;+	2739	7055	7874	7337
gene_3374	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	945765;946251;946707;947038;947261;947407;947502;947674;948096;948286;948526;948900;949084;950250;951096;951695	946198;946660;946996;947217;947362;947457;947629;948050;948242;948484;948852;949043;950201;951046;951649;952484	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6048	1655	1702	1775
gene_3375	scaffold_4;scaffold_4;scaffold_4;scaffold_4	952528;952619;952756;952890	952554;952697;952854;953194	+;+;+;+	510	772	979	917
gene_3376	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	953197;953803;953993;954179;954443;954753;954885	953756;953946;954135;954390;954711;954838;955434	-;-;-;-;-;-;-	1964	1249	1580	1420
gene_3377	scaffold_4	955723	956469	-	747	0	0	0
gene_3378	scaffold_4;scaffold_4	957195;957498	957374;957653	-;-	336	0	0	0
gene_3379	scaffold_4;scaffold_4	958215;959043	958981;959195	-;-	920	0	0	0
gene_3380	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	960160;960837;961271;962020;963190;963488;963608;964088;964406;964727;965252	960786;961226;961976;963145;963436;963561;964043;964359;964655;965204;965441	-;-;-;-;-;-;-;-;-;-;-	4796	1435	1531	1422
gene_3381	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	966022;966244;966319;966480;966582;966694;966907;967146;967290;967402;967715;967910;968082	966197;966269;966355;966535;966650;966862;967098;967246;967353;967640;967862;968038;968329	-;-;-;-;-;-;-;-;-;-;-;-;-	1654	2977	3677	3071
gene_3382	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	968214;968441;968542;968739;968838	968391;968495;968688;968789;969251	+;+;+;+;+	845	1172	1345	1357
gene_3383	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	969233;969433;969676;969878;970123;970229	969386;969631;969785;970001;970178;970708	-;-;-;-;-;-	1123	258	240	281
gene_3384	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	970709;970974;971298;971445;971564;971662;971766;972040;972214;972549;972686;972976	970931;971246;971399;971521;971619;971721;971986;972159;972354;972614;972880;973236	-;-;-;-;-;-;-;-;-;-;-;-	1795	3332	3794	3798
gene_3385	scaffold_4;scaffold_4;scaffold_4	973211;973415;973711	973339;973648;974190	+;+;+	843	808	912	820
gene_3386	scaffold_4;scaffold_4;scaffold_4;scaffold_4	974191;977027;977462;977630	976983;977415;977579;978655	-;-;-;-	4326	1869	1961	2230
gene_3387	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	978766;979116;979980;980119;980642;980825;981189	979065;979938;980076;980605;980777;981142;981654	-;-;-;-;-;-;-	2627	2073	2488	2039
gene_3388	scaffold_4;scaffold_4;scaffold_4;scaffold_4	981861;981955;982702;983654	981882;982655;983607;983695	+;+;+;+	1671	21812	24607	22729
gene_3389	scaffold_4;scaffold_4;scaffold_4;scaffold_4	983870;985234;985313;985403	985183;985259;985352;985489	-;-;-;-	1467	1813	1916	1942
gene_3390	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	985849;986622;987101;987240;987526	986578;987057;987189;987428;988033	-;-;-;-;-	1952	1513	1774	1526
gene_3391	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	988190;988598;988731;989146;989221;989518;989675;989742;989988	988551;988677;989099;989171;989472;989634;989690;989940;991080	-;-;-;-;-;-;-;-;-	2514	276	279	312
gene_3392	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	991209;992101;992186;992249;992381;992494;992725;992993;993079	992062;992142;992201;992324;992454;992680;992956;993039;993406	-;-;-;-;-;-;-;-;-	1856	515	572	611
gene_3393	scaffold_4;scaffold_4;scaffold_4	994066;994469;995883	994411;995836;997100	+;+;+	2932	414	534	512
gene_3394	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	996969;997562;997748;998007;998239;998686	997516;997698;997948;998187;998636;998989	+;+;+;+;+;+	1769	2350	2726	2518
gene_3395	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	998990;999240;999517;999699;999870	999190;999466;999635;999804;1000051	-;-;-;-;-	835	539	592	608
gene_3396	scaffold_4	1000077	1001827	+	1751	706	857	786
gene_3397	scaffold_4;scaffold_4;scaffold_4	1002006;1002343;1002633	1002200;1002452;1002845	+;+;+	518	363	405	447
gene_3398	scaffold_4;scaffold_4;scaffold_4;scaffold_4	1002846;1003533;1003709;1004531	1003481;1003647;1004435;1004841	-;-;-;-	1789	1801	2125	1938
gene_3399	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1004842;1005949;1006309;1006436;1006999;1007070;1007238	1005901;1006261;1006389;1006947;1007028;1007172;1007563	-;-;-;-;-;-;-	2425	2198	2661	2179
gene_3400	scaffold_4;scaffold_4;scaffold_4;scaffold_4	1007564;1007879;1008098;1008451	1007820;1008051;1008402;1009057	-;-;-;-	1342	1855	1943	1740
gene_3401	scaffold_4;scaffold_4;scaffold_4;scaffold_4	1009588;1010130;1010254;1010359	1009740;1010200;1010311;1010556	+;+;+;+	480	4071	4857	4433
gene_3402	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1010557;1011091;1011605;1011753;1011830;1011973;1012785	1011040;1011559;1011717;1011793;1011931;1012748;1013102	-;-;-;-;-;-;-	2303	3770	4621	4222
gene_3403	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1013218;1013730;1014103;1014401;1014818;1014883;1015108;1015246;1015520;1015735;1015811	1013677;1014058;1014345;1014774;1014838;1015063;1015201;1015478;1015691;1015775;1016359	+;+;+;+;+;+;+;+;+;+;+	2697	1428	1352	1494
gene_3404	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1016361;1016885;1017065;1017250;1017667;1018396	1016815;1016964;1017187;1017618;1018347;1020725	+;+;+;+;+;+	4038	1118	1135	1403
gene_3405	scaffold_4	1020724	1021741	-	1018	1211	1155	1256
gene_3406	scaffold_4;scaffold_4;scaffold_4;scaffold_4	1021910;1022352;1022664;1023328	1022218;1022605;1023266;1023638	+;+;+;+	1477	9237	10465	10977
gene_3407	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1023774;1024050;1024385;1024823;1025673;1026066	1023996;1024325;1024748;1025619;1026014;1026477	+;+;+;+;+;+	2414	759	828	921
gene_3408	scaffold_4;scaffold_4	1026600;1026927	1026882;1028947	-;-	2304	628	600	708
gene_3409	scaffold_4	1029278	1030465	+	1188	82	95	160
gene_3410	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1031274;1031816;1032030;1032214;1032488;1032664;1033060;1033228;1033423	1031771;1031981;1032172;1032445;1032619;1033003;1033179;1033369;1033572	-;-;-;-;-;-;-;-;-	1923	1869	2378	2133
gene_3411	scaffold_4;scaffold_4;scaffold_4;scaffold_4	1034003;1034190;1034561;1034961	1034098;1034498;1034910;1035051	+;+;+;+	846	1622	1570	1749
gene_3412	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1035577;1036330;1037293;1037568;1038025;1038281	1036287;1037249;1037522;1037964;1038237;1038332	-;-;-;-;-;-	2523	1171	1135	1036
gene_3413	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1038739;1039128;1039359;1039519;1039670	1039080;1039299;1039471;1039603;1039845	-;-;-;-;-	888	615	945	736
gene_3414	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1039914;1040193;1040360;1040467;1040640;1040780;1041005;1041076;1041154;1041507;1041587;1041701	1040129;1040246;1040418;1040592;1040731;1040956;1041029;1041111;1041461;1041540;1041659;1041973	+;+;+;+;+;+;+;+;+;+;+;+	1473	1187	1529	1393
gene_3415	scaffold_4;scaffold_4;scaffold_4	1041974;1042084;1042256	1042039;1042211;1042519	-;-;-	458	495	623	638
gene_3416	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1042654;1042913;1043075;1043194;1043314;1043511;1043630;1043825;1044090;1044707;1044884;1045106	1042835;1043038;1043137;1043270;1043465;1043582;1043776;1044039;1044661;1044835;1045054;1045505	+;+;+;+;+;+;+;+;+;+;+;+	2306	2594	3051	2783
gene_3417	scaffold_4;scaffold_4;scaffold_4;scaffold_4	1045506;1045854;1046002;1046173	1045753;1045951;1046120;1046581	-;-;-;-	874	814	954	998
gene_3418	scaffold_4;scaffold_4;scaffold_4	1046705;1047057;1047392	1046998;1047345;1048028	+;+;+	1220	715	953	736
gene_3419	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1048140;1048710;1049301;1049459;1050202;1051594;1051725;1052039;1052251;1052365;1052617;1052853;1053009;1053328;1054093;1054935	1048635;1049249;1049414;1050157;1051548;1051676;1051993;1052208;1052314;1052570;1052804;1052961;1053277;1054048;1054887;1055144	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6280	2612	2982	2804
gene_3420	scaffold_4;scaffold_4;scaffold_4	1055157;1056232;1057122	1056174;1057066;1057130	-;-;-	1862	3	6	13
gene_3421	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1058453;1058989;1059453;1059781;1060218	1058931;1059406;1059736;1060171;1060448	-;-;-;-;-	1803	1392	1473	1330
gene_3422	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1061812;1061958;1062024;1062139;1062259;1062614;1062847;1062991;1063176;1063263;1063374;1063507	1061898;1061978;1062091;1062213;1062564;1062795;1062944;1063085;1063226;1063322;1063439;1063565	-;-;-;-;-;-;-;-;-;-;-;-	1168	647	740	813
gene_3423	scaffold_4;scaffold_4	1063775;1064191	1064145;1066165	-;-	2346	164	225	235
gene_3424	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1066034;1066251;1066464;1066605;1067342;1067442;1067598;1067769;1067827	1066205;1066417;1066560;1067288;1067394;1067546;1067725;1067782;1067903	-;-;-;-;-;-;-;-;-	1497	3592	4575	3960
gene_3425	scaffold_4;scaffold_4;scaffold_4;scaffold_4	1068129;1068279;1068499;1068647	1068239;1068359;1068563;1069152	+;+;+;+	763	708	763	761
gene_3426	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1068916;1069131;1069684;1069874;1071094;1071312;1071962;1072346;1072541;1072743;1073543;1073703	1069080;1069640;1069823;1071050;1071270;1071911;1072294;1072491;1072697;1073498;1073663;1074444	-;-;-;-;-;-;-;-;-;-;-;-	5024	4997	4930	4591
gene_3427	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1074712;1074997;1075193;1075336;1075522;1075664	1074954;1075143;1075292;1075479;1075621;1075871	+;+;+;+;+;+	942	909	1067	941
gene_3428	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1075970;1077064;1077361;1077565;1077753;1077860;1077992	1077011;1077319;1077510;1077704;1077816;1077955;1078195	+;+;+;+;+;+;+	1952	739	827	883
gene_3429	scaffold_4;scaffold_4;scaffold_4	1078228;1078815;1078970	1078768;1078920;1079206	-;-;-	884	396	473	409
gene_3430	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1079335;1079596;1079909;1079994;1080182;1080362;1080769;1081106;1081223;1081399;1081595;1081723;1082009	1079540;1079869;1079955;1080134;1080314;1080725;1081065;1081179;1081353;1081548;1081680;1081964;1082377	+;+;+;+;+;+;+;+;+;+;+;+;+	2514	943	1084	951
gene_3431	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1082440;1082724;1082990;1083417;1083512;1083750;1085676;1085792;1085873;1085997;1086140	1082653;1082906;1083369;1083464;1083737;1085630;1085744;1085828;1085947;1086091;1086389	+;+;+;+;+;+;+;+;+;+;+	3458	9616	10462	10312
gene_3432	scaffold_4	1086865	1088654	-	1790	107	143	117
gene_3433	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1089591;1089753;1090126;1090273;1090403;1090558;1090947;1091851;1092171;1092233;1092294;1092632;1092970	1089701;1090060;1090225;1090355;1090513;1090900;1091813;1092125;1092183;1092250;1092586;1092919;1093134	+;+;+;+;+;+;+;+;+;+;+;+;+	2975	7410	8880	7928
gene_3434	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1093135;1093523;1093599;1093735;1093926;1094036;1094161;1094284;1094542;1094719;1094809;1095019;1095156;1095285	1093466;1093556;1093663;1093863;1093986;1094115;1094232;1094483;1094656;1094763;1094908;1095083;1095232;1095543	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1634	2399	2935	2619
gene_3435	scaffold_4;scaffold_4;scaffold_4;scaffold_4	1095607;1096563;1096671;1096721	1096509;1096627;1096675;1097129	-;-;-;-	1382	801	932	901
gene_3436	scaffold_4;scaffold_4;scaffold_4	1097315;1097566;1097716	1097515;1097670;1098049	+;+;+	640	1463	1596	1604
gene_3437	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1098234;1098427;1098566;1098666;1098842	1098357;1098482;1098596;1098776;1099633	+;+;+;+;+	1114	2027	2592	2543
gene_3438	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1099724;1100090;1100483;1100794;1101025	1100029;1100426;1100641;1100979;1101460	+;+;+;+;+	1424	3867	4614	4394
gene_3439	scaffold_4;scaffold_4	1101461;1103488	1102017;1104051	-;-	1121	8	16	18
gene_3440	scaffold_4	1104916	1106175	-	1260	0	0	0
gene_3441	scaffold_4;scaffold_4	1107000;1107561	1107521;1108403	-;-	1365	0	0	0
gene_3442	scaffold_4	1108696	1111297	+	2602	3500	4074	3935
gene_3443	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1111298;1111670;1111987;1112066;1112191;1112266;1112411;1112572	1111604;1111882;1112012;1112141;1112225;1112365;1112504;1112683	-;-;-;-;-;-;-;-	963	1574	1982	1812
gene_3444	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1112792;1113535;1113643;1114054;1114318;1114430;1114539;1114668	1113470;1113600;1114000;1114267;1114384;1114495;1114622;1114915	+;+;+;+;+;+;+;+	1782	50	56	50
gene_3445	scaffold_4;scaffold_4;scaffold_4	1114916;1115527;1115781	1115464;1115731;1115878	-;-;-	852	1967	2519	2087
gene_3446	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1116031;1116646;1116919;1117262;1117458;1117767;1117928;1118120;1118288;1118519;1118871	1116599;1116866;1117214;1117414;1117719;1117880;1118075;1118242;1118470;1118826;1119202	-;-;-;-;-;-;-;-;-;-;-	2709	2390	2677	2372
gene_3447	scaffold_4;scaffold_4;scaffold_4;scaffold_4	1119384;1119508;1119632;1119983	1119449;1119566;1119815;1120347	+;+;+;+	674	685	767	842
gene_3448	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1120406;1120863;1121028;1121140;1121261;1121596;1122109;1122648;1123192	1120814;1120984;1121095;1121216;1121551;1122055;1122601;1123142;1124028	-;-;-;-;-;-;-;-;-	3252	5742	6055	6415
gene_3449	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1125214;1125762;1126412;1126825;1126941	1125576;1126298;1126771;1126897;1128247	+;+;+;+;+	2640	375	333	433
gene_3450	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1130470;1130688;1131003;1131171;1131488;1131785;1131955;1132140;1132374;1132620;1132785;1133023;1134787;1135032;1135150;1135272;1135682	1130642;1130954;1131121;1131446;1131734;1131911;1132094;1132339;1132575;1132743;1132976;1134740;1134989;1135108;1135227;1135582;1137695	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6468	1172	1215	1372
gene_3451	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1137872;1138180;1138734;1139181;1139439;1140571	1138097;1138650;1139138;1139391;1140513;1141249	+;+;+;+;+;+	3067	1241	1461	1557
gene_3452	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1141626;1142164;1142357;1142501;1142778	1142108;1142299;1142436;1142726;1143262	-;-;-;-;-	1410	187	189	151
gene_3453	scaffold_4;scaffold_4;scaffold_4	1143263;1143642;1143898	1143595;1143846;1144307	+;+;+	948	1322	1417	1345
gene_3454	scaffold_4;scaffold_4	1144879;1145639	1145589;1146804	+;+	1877	878	1009	978
gene_3455	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1148393;1149007;1149123;1149243;1149387	1148963;1149073;1149188;1149332;1149821	+;+;+;+;+	1229	1857	2242	1927
gene_3456	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1151117;1151557;1151766;1151842;1152291;1152932;1153067;1153163;1153290;1153544;1154377;1154501	1151487;1151722;1151795;1152247;1152889;1153023;1153117;1153253;1153501;1154335;1154459;1154626	+;+;+;+;+;+;+;+;+;+;+;+	3019	20	33	26
gene_3457	scaffold_4;scaffold_4;scaffold_4	1155133;1155745;1155815	1155688;1155770;1157065	-;-;-	1833	49	46	54
gene_3459	scaffold_4;scaffold_4	1159515;1159767	1159702;1160451	+;+	873	14437	13737	14050
gene_3460	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1161263;1163373;1163909;1164098;1164259;1164755	1163329;1163809;1164048;1164228;1164698;1164866	-;-;-;-;-;-	3327	1417	1387	1446
gene_3461	scaffold_4;scaffold_4;scaffold_4	1165795;1166769;1167429	1166724;1167377;1167473	+;+;+	1584	725	811	961
gene_3462	scaffold_4;scaffold_4	1167607;1168425	1168379;1168782	-;-	1131	2091	2457	2371
gene_3463	scaffold_4;scaffold_4;scaffold_4;scaffold_4	1169086;1169388;1169531;1169926	1169140;1169443;1169875;1170300	+;+;+;+	831	48302	58126	52493
gene_3464	scaffold_4	1170572	1171663	+	1092	2087	2406	2248
gene_3465	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1172507;1172672;1172824;1172993;1173182	1172617;1172758;1172913;1173067;1173322	-;-;-;-;-	504	5230	6402	5721
gene_3466	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1173815;1174327;1174595;1174883;1175097;1175210;1175357;1176281;1176785;1177014;1179461;1179587;1180078;1180243;1180526;1181042;1181360;1181902	1174256;1174549;1174835;1175050;1175165;1175321;1176230;1176734;1176968;1179415;1179540;1180032;1180196;1180483;1180998;1181316;1181854;1182684	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8081	2423	2289	2227
gene_3467	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1182661;1183180;1183305;1183581;1183889;1183989;1184120;1184279;1184392;1184565;1184726;1184880;1184976;1185066;1185140;1185244	1183132;1183257;1183546;1183840;1183941;1184076;1184231;1184344;1184524;1184677;1184836;1184930;1185023;1185090;1185202;1185418	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2090	398	458	381
gene_3468	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1185651;1185803;1186008;1186162;1186314;1186487;1186659;1186806;1187014	1185754;1185962;1186125;1186263;1186423;1186621;1186762;1186968;1187272	+;+;+;+;+;+;+;+;+	1255	487	644	583
gene_3469	scaffold_4;scaffold_4;scaffold_4	1187528;1188194;1188720	1188140;1188676;1189321	+;+;+	1698	3749	4972	4382
gene_3470	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1189377;1190489;1190622;1190734;1190882;1191142;1191252;1191350;1191530;1191722	1190440;1190578;1190691;1190834;1191099;1191215;1191298;1191403;1191665;1191810	-;-;-;-;-;-;-;-;-;-	1943	1261	1332	1313
gene_3471	scaffold_4;scaffold_4;scaffold_4;scaffold_4	1191938;1192707;1192857;1193004	1192597;1192807;1192953;1193178	-;-;-;-	1033	3786	4576	3906
gene_3472	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1193474;1193616;1193730;1194142;1194301	1193569;1193685;1194096;1194259;1194507	+;+;+;+;+	858	2491	2991	2793
gene_3473	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1195242;1195418;1195545;1195736;1195834;1195898;1196070	1195374;1195480;1195667;1195780;1195850;1196020;1196430	+;+;+;+;+;+;+	865	352	425	331
gene_3474	scaffold_4;scaffold_4;scaffold_4	1197901;1198729;1199980	1198682;1199935;1200716	+;+;+	2726	1702	1598	1762
gene_3475	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1200717;1201048;1201368;1201623;1201933	1201000;1201321;1201574;1201885;1202175	-;-;-;-;-	1271	343	361	450
gene_3476	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1202321;1202574;1202743;1203110;1203213;1203292;1203389;1203450;1203572;1203651;1203849;1204162;1204311	1202528;1202693;1203033;1203168;1203247;1203335;1203406;1203531;1203606;1203752;1204112;1204264;1204484	+;+;+;+;+;+;+;+;+;+;+;+;+	1535	867	1000	829
gene_3477	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1204585;1205001;1205094;1205586;1205897;1206057;1206206	1204952;1205044;1205536;1205847;1206009;1206151;1206736	+;+;+;+;+;+;+	1856	1937	2173	1863
gene_3478	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1206748;1206855;1206962;1207139;1207247	1206812;1206912;1207086;1207196;1207366	-;-;-;-;-	426	0	0	0
gene_3479	scaffold_4;scaffold_4;scaffold_4	1207495;1207765;1208124	1207703;1208068;1208477	+;+;+	867	4	15	8
gene_3480	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1208394;1208809;1209101;1209252;1209460	1208749;1209061;1209200;1209401;1209672	-;-;-;-;-	1072	1224	1320	1309
gene_3481	scaffold_4;scaffold_4	1209673;1210132	1210087;1211152	+;+	1436	1073	1525	1384
gene_3482	scaffold_4;scaffold_4	1211153;1211304	1211245;1211665	-;-	455	876	1147	1018
gene_3483	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1211703;1211804;1212766;1212872;1213274;1213380;1213482;1213667	1211752;1212725;1212830;1213227;1213343;1213438;1213623;1213855	+;+;+;+;+;+;+;+	1853	2350	2851	2540
gene_3484	scaffold_4;scaffold_4;scaffold_4	1213898;1213993;1214117	1213955;1214082;1214265	+;+;+	297	15	18	19
gene_3485	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1214617;1214707;1214947;1215125;1215230;1215401;1215570;1215907;1215960	1214649;1214892;1215088;1215184;1215352;1215517;1215833;1215920;1216037	-;-;-;-;-;-;-;-;-	1017	1344	1530	1427
gene_3487	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1217863;1218177;1218485;1219114;1219447	1218097;1218422;1219066;1219398;1219763	+;+;+;+;+	1665	1492	1723	1841
gene_3488	scaffold_4;scaffold_4;scaffold_4;scaffold_4	1219877;1220203;1220439;1220610	1220134;1220357;1220562;1220630	-;-;-;-	558	1588	1812	1672
gene_3489	scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4;scaffold_4	1220811;1221332;1221528;1222375;1222572;1223125	1221288;1221482;1222336;1222535;1223085;1223444	-;-;-;-;-;-	2433	2964	2992	2914
