Reaction,Subsystem
r_0961,"Glycine, serine and threonine metabolism"
r_0961,Glycolysis
r_0961,Glyoxylate and dicarboxylate metabolism
r_0961,Propanoate metabolism
r_0961,Pyruvate metabolism
r_0961,"Valine, leucine and isoleucine degradation"
r_0884,Biosynthesis of antibiotics
r_0884,Biosynthesis of secondary metabolites
r_0884,Carbon metabolism
r_0884,Citrate cycle (TCA cycle)
r_0884,Gluconeogenesis
r_0884,Glycolysis
r_0884,Pyruvate metabolism
r_1021,Biosynthesis of antibiotics
r_1021,Biosynthesis of secondary metabolites
r_1021,Carbon metabolism
r_1021,Citrate cycle (TCA cycle)
r_1021,Oxidative phosphorylation
r_0668,Biosynthesis of antibiotics
r_0668,Biosynthesis of secondary metabolites
r_0668,Carbon metabolism
r_0668,Citrate cycle (TCA cycle)
r_0668,Propanoate metabolism
r_1022,Biosynthesis of antibiotics
r_1022,Biosynthesis of secondary metabolites
r_1022,Carbon metabolism
r_1022,Citrate cycle (TCA cycle)
r_1022,Propanoate metabolism
r_0451,Biosynthesis of antibiotics
r_0451,Biosynthesis of secondary metabolites
r_0451,Carbon metabolism
r_0451,Citrate cycle (TCA cycle)
r_0451,Pyruvate metabolism
r_0452,Biosynthesis of antibiotics
r_0452,Biosynthesis of secondary metabolites
r_0452,Carbon metabolism
r_0452,Citrate cycle (TCA cycle)
r_0452,Pyruvate metabolism
r_0166,Biosynthesis of antibiotics
r_0166,Biosynthesis of secondary metabolites
r_0166,Carbon metabolism
r_0166,Fatty acid degradation
r_0166,Gluconeogenesis
r_0166,Glycolysis
r_0166,Tyrosine metabolism
r_0169,Biosynthesis of antibiotics
r_0169,Biosynthesis of secondary metabolites
r_0169,Carbon metabolism
r_0169,Fatty acid degradation
r_0169,Gluconeogenesis
r_0169,Glycolysis
r_0169,Tyrosine metabolism
r_0179,Biosynthesis of antibiotics
r_0179,Biosynthesis of secondary metabolites
r_0179,Carbon metabolism
r_0179,Fatty acid degradation
r_0179,Gluconeogenesis
r_0179,Glycolysis
r_0179,Tyrosine metabolism
r_0182,Biosynthesis of antibiotics
r_0182,Biosynthesis of secondary metabolites
r_0182,Carbon metabolism
r_0182,Fatty acid degradation
r_0182,Gluconeogenesis
r_0182,Glycolysis
r_0182,Tyrosine metabolism
r_0186,Biosynthesis of antibiotics
r_0186,Biosynthesis of secondary metabolites
r_0186,Carbon metabolism
r_0186,Fatty acid degradation
r_0186,Gluconeogenesis
r_0186,Glycolysis
r_0186,Tyrosine metabolism
r_0443,Biosynthesis of antibiotics
r_0443,Biosynthesis of secondary metabolites
r_0443,Carbon metabolism
r_0443,Fatty acid degradation
r_0443,Gluconeogenesis
r_0443,Glycolysis
r_0443,Tyrosine metabolism
r_0449,Biosynthesis of antibiotics
r_0449,Biosynthesis of secondary metabolites
r_0449,Carbon metabolism
r_0449,Fructose and mannose metabolism
r_0449,Gluconeogenesis
r_0449,Glycolysis
r_0449,Pentose phosphate pathway
r_0112,Biosynthesis of antibiotics
r_0112,Biosynthesis of secondary metabolites
r_0112,Carbon metabolism
r_0112,Gluconeogenesis
r_0112,Glycolysis
r_0112,Propanoate metabolism
r_0112,Pyruvate metabolism
r_0113,Biosynthesis of antibiotics
r_0113,Biosynthesis of secondary metabolites
r_0113,Carbon metabolism
r_0113,Gluconeogenesis
r_0113,Glycolysis
r_0113,Propanoate metabolism
r_0113,Pyruvate metabolism
r_0114,Biosynthesis of antibiotics
r_0114,Biosynthesis of secondary metabolites
r_0114,Carbon metabolism
r_0114,Gluconeogenesis
r_0114,Glycolysis
r_0114,Propanoate metabolism
r_0114,Pyruvate metabolism
r_0889,Biosynthesis of antibiotics
r_0889,Biosynthesis of secondary metabolites
r_0889,Carbon metabolism
r_0889,Glutathione metabolism
r_0889,Pentose phosphate pathway
r_0255,Biosynthesis of antibiotics
r_0255,Biosynthesis of secondary metabolites
r_0255,Carbon metabolism
r_0255,Glyoxylate and dicarboxylate metabolism
r_0255,Longevity regulating pathway - multiple species
r_0255,MAPK signaling pathway - yeast
r_0255,Peroxisome
r_0255,Tryptophan metabolism
r_0256,Biosynthesis of antibiotics
r_0256,Biosynthesis of secondary metabolites
r_0256,Carbon metabolism
r_0256,Glyoxylate and dicarboxylate metabolism
r_0256,Longevity regulating pathway - multiple species
r_0256,MAPK signaling pathway - yeast
r_0256,Peroxisome
r_0256,Tryptophan metabolism
r_0091,Biosynthesis of antibiotics
r_0091,Biosynthesis of secondary metabolites
r_0091,Carbon metabolism
r_0091,Pentose phosphate pathway
r_0163,Biosynthesis of antibiotics
r_0163,Biosynthesis of secondary metabolites
r_0163,Fatty acid degradation
r_0163,Gluconeogenesis
r_0163,Glycolysis
r_0163,Tyrosine metabolism
r_0165,Biosynthesis of antibiotics
r_0165,Biosynthesis of secondary metabolites
r_0165,Fatty acid degradation
r_0165,Gluconeogenesis
r_0165,Glycolysis
r_0165,Tyrosine metabolism
r_0167,Biosynthesis of antibiotics
r_0167,Biosynthesis of secondary metabolites
r_0167,Fatty acid degradation
r_0167,Gluconeogenesis
r_0167,Glycolysis
r_0167,Tyrosine metabolism
r_0170,Biosynthesis of antibiotics
r_0170,Biosynthesis of secondary metabolites
r_0170,Fatty acid degradation
r_0170,Gluconeogenesis
r_0170,Glycolysis
r_0170,Tyrosine metabolism
r_0180,Biosynthesis of antibiotics
r_0180,Biosynthesis of secondary metabolites
r_0180,Fatty acid degradation
r_0180,Gluconeogenesis
r_0180,Glycolysis
r_0180,Tyrosine metabolism
r_0183,Biosynthesis of antibiotics
r_0183,Biosynthesis of secondary metabolites
r_0183,Fatty acid degradation
r_0183,Gluconeogenesis
r_0183,Glycolysis
r_0183,Tyrosine metabolism
r_0187,Biosynthesis of antibiotics
r_0187,Biosynthesis of secondary metabolites
r_0187,Fatty acid degradation
r_0187,Gluconeogenesis
r_0187,Glycolysis
r_0187,Tyrosine metabolism
r_2115,Biosynthesis of antibiotics
r_2115,Biosynthesis of secondary metabolites
r_2115,Fatty acid degradation
r_2115,Gluconeogenesis
r_2115,Glycolysis
r_2115,Tyrosine metabolism
r_0168,Biosynthesis of antibiotics
r_0168,Biosynthesis of secondary metabolites
r_0168,Gluconeogenesis
r_0168,Glycerolipid metabolism
r_0168,Glycolysis
r_0168,Pentose and glucuronate interconversions
r_0171,Biosynthesis of antibiotics
r_0171,Biosynthesis of secondary metabolites
r_0171,Gluconeogenesis
r_0171,Glycerolipid metabolism
r_0171,Glycolysis
r_0171,Pentose and glucuronate interconversions
r_0181,Biosynthesis of antibiotics
r_0181,Biosynthesis of secondary metabolites
r_0181,Gluconeogenesis
r_0181,Glycerolipid metabolism
r_0181,Glycolysis
r_0181,Pentose and glucuronate interconversions
r_0184,Biosynthesis of antibiotics
r_0184,Biosynthesis of secondary metabolites
r_0184,Gluconeogenesis
r_0184,Glycerolipid metabolism
r_0184,Glycolysis
r_0184,Pentose and glucuronate interconversions
r_0062,Biosynthesis of antibiotics
r_0062,Biosynthesis of secondary metabolites
r_0062,Gluconeogenesis
r_0062,Glycolysis
r_0064,Biosynthesis of antibiotics
r_0064,Biosynthesis of secondary metabolites
r_0064,Gluconeogenesis
r_0064,Glycolysis
r_0072,Biosynthesis of antibiotics
r_0072,Biosynthesis of secondary metabolites
r_0072,Gluconeogenesis
r_0072,Glycolysis
r_0095,Biosynthesis of antibiotics
r_0095,Biosynthesis of secondary metabolites
r_0095,Gluconeogenesis
r_0095,Glycolysis
r_0567,Biosynthesis of antibiotics
r_0567,Biosynthesis of secondary metabolites
r_0567,Gluconeogenesis
r_0567,Glycolysis
r_0959,Biosynthesis of antibiotics
r_0959,Biosynthesis of secondary metabolites
r_0959,Gluconeogenesis
r_0959,Glycolysis
r_0960,Biosynthesis of antibiotics
r_0960,Biosynthesis of secondary metabolites
r_0960,Gluconeogenesis
r_0960,Glycolysis
r_0499,Biosynthesis of antibiotics
r_0499,Biosynthesis of secondary metabolites
r_0499,One carbon pool by folate
r_0499,Purine metabolism
r_0570,Biosynthesis of antibiotics
r_0570,Biosynthesis of secondary metabolites
r_0570,One carbon pool by folate
r_0570,Purine metabolism
r_0912,Biosynthesis of antibiotics
r_0912,Biosynthesis of secondary metabolites
r_0912,One carbon pool by folate
r_0912,Purine metabolism
r_0735,Biosynthesis of antibiotics
r_0735,Biosynthesis of secondary metabolites
r_0735,Peroxisome
r_0735,Terpenoid backbone biosynthesis
r_0736,Biosynthesis of antibiotics
r_0736,Biosynthesis of secondary metabolites
r_0736,Peroxisome
r_0736,Terpenoid backbone biosynthesis
r_0737,Biosynthesis of antibiotics
r_0737,Biosynthesis of secondary metabolites
r_0737,Peroxisome
r_0737,Terpenoid backbone biosynthesis
r_0738,Biosynthesis of antibiotics
r_0738,Biosynthesis of secondary metabolites
r_0738,Peroxisome
r_0738,Terpenoid backbone biosynthesis
r_2117,Biosynthesis of antibiotics
r_2117,Biosynthesis of secondary metabolites
r_2117,Phenylalanine metabolism
r_2117,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_2117,Tyrosine metabolism
r_2118,Biosynthesis of antibiotics
r_2118,Biosynthesis of secondary metabolites
r_2118,Phenylalanine metabolism
r_2118,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_2118,Tyrosine metabolism
r_2119,Biosynthesis of antibiotics
r_2119,Biosynthesis of secondary metabolites
r_2119,Phenylalanine metabolism
r_2119,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_2119,Tyrosine metabolism
r_0939,Biosynthesis of antibiotics
r_0939,Biosynthesis of secondary metabolites
r_0939,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0079,Biosynthesis of antibiotics
r_0079,Biosynthesis of secondary metabolites
r_0079,Purine metabolism
r_0143,Biosynthesis of antibiotics
r_0143,Biosynthesis of secondary metabolites
r_0143,Purine metabolism
r_0855,Biosynthesis of antibiotics
r_0855,Biosynthesis of secondary metabolites
r_0855,Purine metabolism
r_0908,Biosynthesis of antibiotics
r_0908,Biosynthesis of secondary metabolites
r_0908,Purine metabolism
r_0914,Biosynthesis of antibiotics
r_0914,Biosynthesis of secondary metabolites
r_0914,Purine metabolism
r_0795,Biosynthesis of antibiotics
r_0795,Biosynthesis of secondary metabolites
r_0795,Purine metabolism
r_0795,Pyrimidine metabolism
r_0796,Biosynthesis of antibiotics
r_0796,Biosynthesis of secondary metabolites
r_0796,Purine metabolism
r_0796,Pyrimidine metabolism
r_0797,Biosynthesis of antibiotics
r_0797,Biosynthesis of secondary metabolites
r_0797,Purine metabolism
r_0797,Pyrimidine metabolism
r_0798,Biosynthesis of antibiotics
r_0798,Biosynthesis of secondary metabolites
r_0798,Purine metabolism
r_0798,Pyrimidine metabolism
r_0799,Biosynthesis of antibiotics
r_0799,Biosynthesis of secondary metabolites
r_0799,Purine metabolism
r_0799,Pyrimidine metabolism
r_0800,Biosynthesis of antibiotics
r_0800,Biosynthesis of secondary metabolites
r_0800,Purine metabolism
r_0800,Pyrimidine metabolism
r_0801,Biosynthesis of antibiotics
r_0801,Biosynthesis of secondary metabolites
r_0801,Purine metabolism
r_0801,Pyrimidine metabolism
r_0802,Biosynthesis of antibiotics
r_0802,Biosynthesis of secondary metabolites
r_0802,Purine metabolism
r_0802,Pyrimidine metabolism
r_0803,Biosynthesis of antibiotics
r_0803,Biosynthesis of secondary metabolites
r_0803,Purine metabolism
r_0803,Pyrimidine metabolism
r_0811,Biosynthesis of antibiotics
r_0811,Biosynthesis of secondary metabolites
r_0811,Purine metabolism
r_0811,Pyrimidine metabolism
r_0148,Biosynthesis of antibiotics
r_0148,Biosynthesis of secondary metabolites
r_0148,Purine metabolism
r_0148,Thiamine metabolism
r_0149,Biosynthesis of antibiotics
r_0149,Biosynthesis of secondary metabolites
r_0149,Purine metabolism
r_0149,Thiamine metabolism
r_0150,Biosynthesis of antibiotics
r_0150,Biosynthesis of secondary metabolites
r_0150,Purine metabolism
r_0150,Thiamine metabolism
r_1010,Biosynthesis of antibiotics
r_1010,Biosynthesis of secondary metabolites
r_1010,Sesquiterpenoid and triterpenoid biosynthesis
r_1010,Steroid biosynthesis
r_1011,Biosynthesis of antibiotics
r_1011,Biosynthesis of secondary metabolites
r_1011,Sesquiterpenoid and triterpenoid biosynthesis
r_1011,Steroid biosynthesis
r_1012,Biosynthesis of antibiotics
r_1012,Biosynthesis of secondary metabolites
r_1012,Sesquiterpenoid and triterpenoid biosynthesis
r_1012,Steroid biosynthesis
r_0231,Biosynthesis of antibiotics
r_0231,Biosynthesis of secondary metabolites
r_0231,Steroid biosynthesis
r_0242,Biosynthesis of antibiotics
r_0242,Biosynthesis of secondary metabolites
r_0242,Steroid biosynthesis
r_0317,Biosynthesis of antibiotics
r_0317,Biosynthesis of secondary metabolites
r_0317,Steroid biosynthesis
r_0698,Biosynthesis of antibiotics
r_0698,Biosynthesis of secondary metabolites
r_0698,Steroid biosynthesis
r_0986,Biosynthesis of antibiotics
r_0986,Biosynthesis of secondary metabolites
r_0986,Steroid biosynthesis
r_0355,Biosynthesis of antibiotics
r_0355,Biosynthesis of secondary metabolites
r_0355,Terpenoid backbone biosynthesis
r_0373,Biosynthesis of antibiotics
r_0373,Biosynthesis of secondary metabolites
r_0373,Terpenoid backbone biosynthesis
r_0462,Biosynthesis of antibiotics
r_0462,Biosynthesis of secondary metabolites
r_0462,Terpenoid backbone biosynthesis
r_0558,Biosynthesis of antibiotics
r_0558,Biosynthesis of secondary metabolites
r_0558,Terpenoid backbone biosynthesis
r_0667,Biosynthesis of antibiotics
r_0667,Biosynthesis of secondary metabolites
r_0667,Terpenoid backbone biosynthesis
r_0739,Biosynthesis of antibiotics
r_0739,Biosynthesis of secondary metabolites
r_0739,Terpenoid backbone biosynthesis
r_0904,Biosynthesis of antibiotics
r_0904,Biosynthesis of secondary metabolites
r_0904,Terpenoid backbone biosynthesis
r_0549,Biosynthesis of antibiotics
r_0549,Cysteine and methionine metabolism
r_0758,Biosynthesis of antibiotics
r_0758,Inositol phosphate metabolism
r_1025,Biosynthesis of antibiotics
r_1025,Monobactam biosynthesis
r_1025,Purine metabolism
r_1025,Selenocompound metabolism
r_1025,Sulfur metabolism
r_0233,Biosynthesis of antibiotics
r_0233,Steroid biosynthesis
r_0234,Biosynthesis of antibiotics
r_0234,Steroid biosynthesis
r_0235,Biosynthesis of antibiotics
r_0235,Steroid biosynthesis
r_0236,Biosynthesis of antibiotics
r_0236,Steroid biosynthesis
r_0237,Biosynthesis of antibiotics
r_0237,Steroid biosynthesis
r_0238,Biosynthesis of antibiotics
r_0238,Steroid biosynthesis
r_0239,Biosynthesis of antibiotics
r_0239,Steroid biosynthesis
r_0240,Biosynthesis of antibiotics
r_0240,Steroid biosynthesis
r_0241,Biosynthesis of antibiotics
r_0241,Steroid biosynthesis
r_0243,Biosynthesis of antibiotics
r_0243,Steroid biosynthesis
r_0244,Biosynthesis of antibiotics
r_0244,Steroid biosynthesis
r_0032,Biosynthesis of antibiotics
r_0032,Sulfur metabolism
r_0120,Biosynthesis of secondary metabolites
r_0120,Biosynthesis of unsaturated fatty acids
r_0120,Fatty acid degradation
r_0120,Fatty acid metabolism
r_0120,Peroxisome
r_0121,Biosynthesis of secondary metabolites
r_0121,Biosynthesis of unsaturated fatty acids
r_0121,Fatty acid degradation
r_0121,Fatty acid metabolism
r_0121,Peroxisome
r_0122,Biosynthesis of secondary metabolites
r_0122,Biosynthesis of unsaturated fatty acids
r_0122,Fatty acid degradation
r_0122,Fatty acid metabolism
r_0122,Peroxisome
r_0123,Biosynthesis of secondary metabolites
r_0123,Biosynthesis of unsaturated fatty acids
r_0123,Fatty acid degradation
r_0123,Fatty acid metabolism
r_0123,Peroxisome
r_0124,Biosynthesis of secondary metabolites
r_0124,Biosynthesis of unsaturated fatty acids
r_0124,Fatty acid degradation
r_0124,Fatty acid metabolism
r_0124,Peroxisome
r_0125,Biosynthesis of secondary metabolites
r_0125,Biosynthesis of unsaturated fatty acids
r_0125,Fatty acid degradation
r_0125,Fatty acid metabolism
r_0125,Peroxisome
r_2236,Biosynthesis of secondary metabolites
r_2236,Biosynthesis of unsaturated fatty acids
r_2236,Fatty acid degradation
r_2236,Fatty acid metabolism
r_2236,Peroxisome
r_2237,Biosynthesis of secondary metabolites
r_2237,Biosynthesis of unsaturated fatty acids
r_2237,Fatty acid degradation
r_2237,Fatty acid metabolism
r_2237,Peroxisome
r_2238,Biosynthesis of secondary metabolites
r_2238,Biosynthesis of unsaturated fatty acids
r_2238,Fatty acid degradation
r_2238,Fatty acid metabolism
r_2238,Peroxisome
r_2239,Biosynthesis of secondary metabolites
r_2239,Biosynthesis of unsaturated fatty acids
r_2239,Fatty acid degradation
r_2239,Fatty acid metabolism
r_2239,Peroxisome
r_2240,Biosynthesis of secondary metabolites
r_2240,Biosynthesis of unsaturated fatty acids
r_2240,Fatty acid degradation
r_2240,Fatty acid metabolism
r_2240,Peroxisome
r_2241,Biosynthesis of secondary metabolites
r_2241,Biosynthesis of unsaturated fatty acids
r_2241,Fatty acid degradation
r_2241,Fatty acid metabolism
r_2241,Peroxisome
r_2242,Biosynthesis of secondary metabolites
r_2242,Biosynthesis of unsaturated fatty acids
r_2242,Fatty acid degradation
r_2242,Fatty acid metabolism
r_2242,Peroxisome
r_2243,Biosynthesis of secondary metabolites
r_2243,Biosynthesis of unsaturated fatty acids
r_2243,Fatty acid degradation
r_2243,Fatty acid metabolism
r_2243,Peroxisome
r_2244,Biosynthesis of secondary metabolites
r_2244,Biosynthesis of unsaturated fatty acids
r_2244,Fatty acid degradation
r_2244,Fatty acid metabolism
r_2244,Peroxisome
r_2245,Biosynthesis of secondary metabolites
r_2245,Biosynthesis of unsaturated fatty acids
r_2245,Fatty acid degradation
r_2245,Fatty acid metabolism
r_2245,Peroxisome
r_2246,Biosynthesis of secondary metabolites
r_2246,Biosynthesis of unsaturated fatty acids
r_2246,Fatty acid degradation
r_2246,Fatty acid metabolism
r_2246,Peroxisome
r_2247,Biosynthesis of secondary metabolites
r_2247,Biosynthesis of unsaturated fatty acids
r_2247,Fatty acid degradation
r_2247,Fatty acid metabolism
r_2247,Peroxisome
r_0844,Biosynthesis of secondary metabolites
r_0844,Biosynthesis of unsaturated fatty acids
r_0844,Fatty acid elongation
r_2168,Biosynthesis of secondary metabolites
r_2168,Biosynthesis of unsaturated fatty acids
r_2168,Fatty acid elongation
r_2168,Fatty acid metabolism
r_2169,Biosynthesis of secondary metabolites
r_2169,Biosynthesis of unsaturated fatty acids
r_2169,Fatty acid elongation
r_2169,Fatty acid metabolism
r_2170,Biosynthesis of secondary metabolites
r_2170,Biosynthesis of unsaturated fatty acids
r_2170,Fatty acid elongation
r_2170,Fatty acid metabolism
r_2171,Biosynthesis of secondary metabolites
r_2171,Biosynthesis of unsaturated fatty acids
r_2171,Fatty acid elongation
r_2171,Fatty acid metabolism
r_2172,Biosynthesis of secondary metabolites
r_2172,Biosynthesis of unsaturated fatty acids
r_2172,Fatty acid elongation
r_2172,Fatty acid metabolism
r_2173,Biosynthesis of secondary metabolites
r_2173,Biosynthesis of unsaturated fatty acids
r_2173,Fatty acid elongation
r_2173,Fatty acid metabolism
r_2174,Biosynthesis of secondary metabolites
r_2174,Biosynthesis of unsaturated fatty acids
r_2174,Fatty acid elongation
r_2174,Fatty acid metabolism
r_2175,Biosynthesis of secondary metabolites
r_2175,Biosynthesis of unsaturated fatty acids
r_2175,Fatty acid elongation
r_2175,Fatty acid metabolism
r_2176,Biosynthesis of secondary metabolites
r_2176,Biosynthesis of unsaturated fatty acids
r_2176,Fatty acid elongation
r_2176,Fatty acid metabolism
r_2177,Biosynthesis of secondary metabolites
r_2177,Biosynthesis of unsaturated fatty acids
r_2177,Fatty acid elongation
r_2177,Fatty acid metabolism
r_2178,Biosynthesis of secondary metabolites
r_2178,Biosynthesis of unsaturated fatty acids
r_2178,Fatty acid elongation
r_2178,Fatty acid metabolism
r_2179,Biosynthesis of secondary metabolites
r_2179,Biosynthesis of unsaturated fatty acids
r_2179,Fatty acid elongation
r_2179,Fatty acid metabolism
r_2180,Biosynthesis of secondary metabolites
r_2180,Biosynthesis of unsaturated fatty acids
r_2180,Fatty acid elongation
r_2180,Fatty acid metabolism
r_2181,Biosynthesis of secondary metabolites
r_2181,Biosynthesis of unsaturated fatty acids
r_2181,Fatty acid elongation
r_2181,Fatty acid metabolism
r_0109,Biosynthesis of secondary metabolites
r_0109,Biotin metabolism
r_0109,Fatty acid biosynthesis
r_0109,Fatty acid metabolism
r_0109,Propanoate metabolism
r_0109,Pyruvate metabolism
r_0662,Biosynthesis of secondary metabolites
r_0662,Carbon metabolism
r_0662,Glyoxylate and dicarboxylate metabolism
r_0734,Biosynthesis of secondary metabolites
r_0734,Carbon metabolism
r_0734,Glyoxylate and dicarboxylate metabolism
r_0717,Biosynthesis of secondary metabolites
r_0717,Carbon metabolism
r_0717,Glyoxylate and dicarboxylate metabolism
r_0717,Pyruvate metabolism
r_0943,Biosynthesis of secondary metabolites
r_0943,Cysteine and methionine metabolism
r_0943,Nicotinate and nicotinamide metabolism
r_0943,Purine metabolism
r_0943,Pyrimidine metabolism
r_0108,Biosynthesis of secondary metabolites
r_0108,Fatty acid biosynthesis
r_0108,Fatty acid metabolism
r_0108,Propanoate metabolism
r_0108,Pyruvate metabolism
r_0525,Biosynthesis of secondary metabolites
r_0525,Folate biosynthesis
r_0525,Riboflavin metabolism
r_0172,Biosynthesis of secondary metabolites
r_0172,Gluconeogenesis
r_0172,Glycolysis
r_0172,Histidine metabolism
r_0172,Phenylalanine metabolism
r_0172,Tyrosine metabolism
r_0172,beta-Alanine metabolism
r_0185,Biosynthesis of secondary metabolites
r_0185,Gluconeogenesis
r_0185,Glycolysis
r_0185,Histidine metabolism
r_0185,Phenylalanine metabolism
r_0185,Tyrosine metabolism
r_0185,beta-Alanine metabolism
r_2116,Biosynthesis of secondary metabolites
r_2116,Gluconeogenesis
r_2116,Glycolysis
r_2116,Histidine metabolism
r_2116,Phenylalanine metabolism
r_2116,Tyrosine metabolism
r_2116,beta-Alanine metabolism
r_0490,Biosynthesis of secondary metabolites
r_0490,Glycerophospholipid metabolism
r_0491,Biosynthesis of secondary metabolites
r_0491,Glycerophospholipid metabolism
r_0491,MAPK signaling pathway - yeast
r_0492,Biosynthesis of secondary metabolites
r_0492,Glycerophospholipid metabolism
r_0492,MAPK signaling pathway - yeast
r_0081,Biosynthesis of secondary metabolites
r_0081,"Glycine, serine and threonine metabolism"
r_0081,Porphyrin and chlorophyll metabolism
r_0531,Biosynthesis of secondary metabolites
r_0531,Oxidative phosphorylation
r_0531,Porphyrin and chlorophyll metabolism
r_0019,Biosynthesis of secondary metabolites
r_0019,Pantothenate and CoA biosynthesis
r_0063,Biosynthesis of secondary metabolites
r_0063,Pantothenate and CoA biosynthesis
r_0843,Biosynthesis of secondary metabolites
r_0843,Pantothenate and CoA biosynthesis
r_0843,beta-Alanine metabolism
r_0304,Biosynthesis of secondary metabolites
r_0304,Porphyrin and chlorophyll metabolism
r_0436,Biosynthesis of secondary metabolites
r_0436,Porphyrin and chlorophyll metabolism
r_0557,Biosynthesis of secondary metabolites
r_0557,Porphyrin and chlorophyll metabolism
r_0935,Biosynthesis of secondary metabolites
r_0935,Porphyrin and chlorophyll metabolism
r_0942,Biosynthesis of secondary metabolites
r_0942,Porphyrin and chlorophyll metabolism
r_0998,Biosynthesis of secondary metabolites
r_0998,Porphyrin and chlorophyll metabolism
r_0999,Biosynthesis of secondary metabolites
r_0999,Porphyrin and chlorophyll metabolism
r_1081,Biosynthesis of secondary metabolites
r_1081,Porphyrin and chlorophyll metabolism
r_1082,Biosynthesis of secondary metabolites
r_1082,Porphyrin and chlorophyll metabolism
r_1083,Biosynthesis of secondary metabolites
r_1083,Porphyrin and chlorophyll metabolism
r_0527,Biosynthesis of secondary metabolites
r_0527,Purine metabolism
r_0562,Biosynthesis of secondary metabolites
r_0562,Purine metabolism
r_0565,Biosynthesis of secondary metabolites
r_0565,Purine metabolism
r_0911,Biosynthesis of secondary metabolites
r_0911,Purine metabolism
r_0038,Biosynthesis of secondary metabolites
r_0038,Riboflavin metabolism
r_0967,Biosynthesis of secondary metabolites
r_0967,Riboflavin metabolism
r_0968,Biosynthesis of secondary metabolites
r_0968,Riboflavin metabolism
r_0463,Biosynthesis of secondary metabolites
r_0463,Starch and sucrose metabolism
r_0511,Biosynthesis of secondary metabolites
r_0511,Starch and sucrose metabolism
r_0281,Biosynthesis of secondary metabolites
r_0281,Terpenoid backbone biosynthesis
r_0282,Biosynthesis of secondary metabolites
r_0282,Terpenoid backbone biosynthesis
r_0283,Biosynthesis of secondary metabolites
r_0283,Terpenoid backbone biosynthesis
r_0284,Biosynthesis of secondary metabolites
r_0284,Terpenoid backbone biosynthesis
r_0285,Biosynthesis of secondary metabolites
r_0285,Terpenoid backbone biosynthesis
r_0286,Biosynthesis of secondary metabolites
r_0286,Terpenoid backbone biosynthesis
r_0287,Biosynthesis of secondary metabolites
r_0287,Terpenoid backbone biosynthesis
r_0288,Biosynthesis of secondary metabolites
r_0288,Terpenoid backbone biosynthesis
r_0289,Biosynthesis of secondary metabolites
r_0289,Terpenoid backbone biosynthesis
r_0290,Biosynthesis of secondary metabolites
r_0290,Terpenoid backbone biosynthesis
r_0291,Biosynthesis of secondary metabolites
r_0291,Terpenoid backbone biosynthesis
r_0292,Biosynthesis of secondary metabolites
r_0292,Terpenoid backbone biosynthesis
r_0293,Biosynthesis of secondary metabolites
r_0293,Terpenoid backbone biosynthesis
r_0294,Biosynthesis of secondary metabolites
r_0294,Terpenoid backbone biosynthesis
r_0295,Biosynthesis of secondary metabolites
r_0295,Terpenoid backbone biosynthesis
r_0296,Biosynthesis of secondary metabolites
r_0296,Terpenoid backbone biosynthesis
r_0297,Biosynthesis of secondary metabolites
r_0297,Terpenoid backbone biosynthesis
r_0298,Biosynthesis of secondary metabolites
r_0298,Terpenoid backbone biosynthesis
r_0299,Biosynthesis of secondary metabolites
r_0299,Terpenoid backbone biosynthesis
r_1047,Biosynthesis of secondary metabolites
r_1047,Terpenoid backbone biosynthesis
r_0021,Biosynthesis of secondary metabolites
r_0021,Ubiquinone and other terpenoid-quinone biosynthesis
r_0022,Biosynthesis of secondary metabolites
r_0022,Ubiquinone and other terpenoid-quinone biosynthesis
r_0532,Biosynthesis of secondary metabolites
r_0532,Ubiquinone and other terpenoid-quinone biosynthesis
r_0555,Biosynthesis of secondary metabolites
r_0555,Ubiquinone and other terpenoid-quinone biosynthesis
r_0963,Biosynthesis of secondary metabolites
r_0963,Ubiquinone and other terpenoid-quinone biosynthesis
r_0985,Biosynthesis of secondary metabolites
r_0985,Ubiquinone and other terpenoid-quinone biosynthesis
r_2182,Biosynthesis of unsaturated fatty acids
r_2182,Fatty acid metabolism
r_2183,Biosynthesis of unsaturated fatty acids
r_2183,Fatty acid metabolism
r_0146,Biotin metabolism
r_0229,Biotin metabolism
r_0230,Biotin metabolism
r_0987,Carbon metabolism
r_0354,Carbon metabolism
r_0354,Fructose and mannose metabolism
r_0354,Glycerolipid metabolism
r_0445,Carbon metabolism
r_0445,Glyoxylate and dicarboxylate metabolism
r_0080,Carbon metabolism
r_0080,One carbon pool by folate
r_0718,Carbon metabolism
r_0718,Pyruvate metabolism
r_0719,Carbon metabolism
r_0719,Pyruvate metabolism
t_0003,Caretonoid metabolism
t_0004,Caretonoid metabolism
y200003,Citrate cycle (TCA cycle)
r_0013,Cysteine and methionine metabolism
r_0075,Cysteine and methionine metabolism
r_0144,Cysteine and methionine metabolism
y200008,Cysteine and methionine metabolism
y300068,Cysteine and methionine metabolism
r_0460,Cysteine and methionine metabolism
r_0460,Glutathione metabolism
r_0485,Cysteine and methionine metabolism
r_0485,Glutathione metabolism
r_2140,Fatty acid biosynthesis
